state,year,staff,staff_per_10k
Johor,2014,11114,31.22085510421934
Kedah,2014,8018,38.8713821690018
Kelantan,2014,6791,39.40466519670419
Melaka,2014,3829,43.92566249856602
Negeri Sembilan,2014,5002,46.33197480548351
Pahang,2014,7356,46.214738958346416
Perak,2014,10103,41.08914917846104
Perlis,2014,1581,64.50428396572828
Pulau Pinang,2014,6427,38.29926702818664
Sabah,2014,12817,34.92465734761165
Sarawak,2014,10921,40.99474474474474
Selangor,2014,15450,25.531703931386645
Terengganu,2014,5510,48.316380217467554
Kuala Lumpur,2014,8394,48.31357200414412
Labuan,2014,381,40.6183368869936
Putrajaya,2014,7836,968.603213844252
Johor,2015,11721,32.465446084812896
Kedah,2015,8540,40.73455759599332
Kelantan,2015,8505,48.30739520617971
Melaka,2015,4056,45.62429696287964
Negeri Sembilan,2015,5132,47.13445995591477
Pahang,2015,7655,47.60868213197338
Perak,2015,10569,42.84324455794722
Perlis,2015,1721,69.25553319919517
Pulau Pinang,2015,6505,38.30752016960132
Sabah,2015,13772,37.016530036285445
Sarawak,2015,11090,41.05126781417731
Selangor,2015,16474,26.66558756879249
Terengganu,2015,5719,49.25925925925926
Kuala Lumpur,2015,12278,68.9620310042687
Labuan,2015,409,43.00736067297582
Putrajaya,2015,7936,956.144578313253
Johor,2016,11987,32.824908264417545
Kedah,2016,8762,41.33603811860169
Kelantan,2016,8683,48.32748928591307
Melaka,2016,4342,48.18555099323049
Negeri Sembilan,2016,5329,48.47630310197398
Pahang,2016,7925,48.71826397000061
Perak,2016,10867,43.781475363603406
Perlis,2016,1840,73.30677290836653
Pulau Pinang,2016,6769,39.4073470338243
Sabah,2016,14084,37.03586830756285
Sarawak,2016,12152,44.371417095702334
Selangor,2016,17510,27.831200826511964
Terengganu,2016,5964,50.397160723339525
Kuala Lumpur,2016,13140,73.42012627814718
Labuan,2016,414,42.76859504132232
Putrajaya,2016,7975,944.905213270142
Johor,2017,12506,33.82742764403571
Kedah,2017,8985,41.90960399272355
Kelantan,2017,8990,49.15254237288136
Melaka,2017,4503,49.31551856313656
Negeri Sembilan,2017,5779,51.87612208258528
Pahang,2017,8026,48.73102610807528
Perak,2017,11259,45.15883202310284
Perlis,2017,1882,74.68253968253968
Pulau Pinang,2017,7506,43.03652313514134
Sabah,2017,14368,37.262377136336525
Sarawak,2017,13190,47.681017966236496
Selangor,2017,19883,31.16115786669174
Terengganu,2017,6431,53.23675496688743
Kuala Lumpur,2017,12702,70.8342627704662
Labuan,2017,434,44.467213114754095
Putrajaya,2017,7152,817.3714285714285
Johor,2018,12764,34.04278017816184
Kedah,2018,9229,42.66759130836801
Kelantan,2018,9084,48.82558452029025
Melaka,2018,4480,48.568950563746746
Negeri Sembilan,2018,6157,54.83124053789296
Pahang,2018,8347,50.14116657656034
Perak,2018,11422,45.6241262232874
Perlis,2018,1914,75.50295857988166
Pulau Pinang,2018,7651,43.40254141139097
Sabah,2018,15072,38.662015185717216
Sarawak,2018,12446,44.582154242934415
Selangor,2018,20882,32.25019305019305
Terengganu,2018,6582,53.58625742896687
Kuala Lumpur,2018,15492,86.54748603351956
Labuan,2018,475,47.97979797979798
Putrajaya,2018,5677,584.0534979423868
Johor,2019,13553,36.03371264490056
Kedah,2019,9666,44.46795785987027
Kelantan,2019,8683,46.09300350355664
Melaka,2019,4947,53.28522188711762
Negeri Sembilan,2019,6479,57.529746048659206
Pahang,2019,9050,54.14622472179011
Perak,2019,11995,47.81170280612245
Perlis,2019,1994,78.50393700787401
Pulau Pinang,2019,7511,42.46381727725011
Sabah,2019,15432,39.524638868968346
Sarawak,2019,12373,44.09479686386315
Selangor,2019,20624,31.699482024561565
Terengganu,2019,6826,54.84933708316593
Kuala Lumpur,2019,17299,97.04908835904628
Labuan,2019,497,50.0503524672709
Putrajaya,2019,7248,698.9392478302797
Johor,2020,12294,30.66064792877273
Kedah,2020,10652,49.9765412404992
Kelantan,2020,7719,43.06276150627615
Melaka,2020,5286,52.94471153846154
Negeri Sembilan,2020,8023,66.85833333333333
Pahang,2020,9042,56.82146672531892
Perak,2020,6566,26.306089743589745
Perlis,2020,10665,374.3418743418744
Pulau Pinang,2020,10600,60.90553895656171
Sabah,2020,13669,39.98186498186498
Sarawak,2020,15138,61.694583689937645
Selangor,2020,16461,23.534541919249687
Terengganu,2020,11544,100.43500957021055
Kuala Lumpur,2020,15374,77.56419958629736
Labuan,2020,463,48.68559411146162
Putrajaya,2020,3143,287.8205128205128
Johor,2021,14586,36.28358208955224
Kedah,2021,10486,48.73355951108426
Kelantan,2021,11589,63.9463664956133
Melaka,2021,5463,54.38526630164261
Negeri Sembilan,2021,7030,58.37900680950008
Pahang,2021,9427,58.863565407430535
Perak,2021,13130,52.19015820017489
Perlis,2021,2100,73.01808066759388
Pulau Pinang,2021,8137,46.76436781609196
Sabah,2021,16125,47.25136259743304
Sarawak,2021,12725,51.610155743024016
Selangor,2021,23001,32.7897130312059
Terengganu,2021,7140,60.98915178952763
Kuala Lumpur,2021,18045,91.87881873727088
Labuan,2021,521,54.270833333333336
Putrajaya,2021,3129,271.6145833333333
Johor,2022,14634,36.3279795447211
Kedah,2022,10372,47.94970181683695
Kelantan,2022,12097,66.08215885502021
Melaka,2022,5624,55.76046004362483
Negeri Sembilan,2022,7248,60.00496729861743
Pahang,2022,9586,59.38177538251874
Perak,2022,13561,53.93334393891187
Perlis,2022,2116,73.01587301587303
Pulau Pinang,2022,8192,47.05612039749555
Sabah,2022,16345,47.86377346335178
Sarawak,2022,13374,54.06913280776228
Selangor,2022,24009,34.053870048083056
Terengganu,2022,7438,62.68329681442778
Kuala Lumpur,2022,18941,96.57862533142972
Labuan,2022,601,62.02270381836945
Putrajaya,2022,3552,303.5897435897436
