state,year,beds,beds_per_10k
Johor,2015,4968,13.760629310583608
Kedah,2015,2653,12.65442404006678
Kelantan,2015,2509,14.250823582869478
Melaka,2015,1389,15.62429696287964
Negeri Sembilan,2015,1825,16.76157237325496
Pahang,2015,2158,13.421232663722868
Perak,2015,5762,23.35724998986582
Perlis,2015,408,16.41851106639839
Pulau Pinang,2015,2046,12.048760379247394
Sabah,2015,4671,12.55476414460422
Sarawak,2015,3944,14.599296687025728
Selangor,2015,5493,8.89122693428294
Terengganu,2015,1645,14.16881998277347
Kuala Lumpur,2015,4901,27.527521905189847
Labuan,2015,122,12.828601472134595
Putrajaya,2015,593,71.44578313253012
Johor,2016,5185,14.198477463168848
Kedah,2016,2689,12.685757418502618
Kelantan,2016,2589,14.40975121055268
Melaka,2016,1420,15.758517367661746
Negeri Sembilan,2016,1825,16.601473665059583
Pahang,2016,2316,14.237413167762956
Perak,2016,5542,22.32786753152573
Perlis,2016,408,16.254980079681275
Pulau Pinang,2016,2130,12.400302730395296
Sabah,2016,4815,12.661722940990847
Sarawak,2016,3978,14.52513966480447
Selangor,2016,5531,8.79122625764921
Terengganu,2016,1645,13.900625316883556
Kuala Lumpur,2016,4890,27.32301503045203
Labuan,2016,122,12.603305785123966
Putrajaya,2016,593,70.260663507109
Johor,2017,5185,14.024885041925886
Kedah,2017,2703,12.607864172769252
Kelantan,2017,2590,14.16074357572444
Melaka,2017,1420,15.551418245537182
Negeri Sembilan,2017,1832,16.445242369838418
Pahang,2017,2391,14.517304189435338
Perak,2017,5542,22.228461415048933
Perlis,2017,508,20.15873015873016
Pulau Pinang,2017,2065,11.83991743592684
Sabah,2017,4877,12.64814958894162
Sarawak,2017,3989,14.41998337129017
Selangor,2017,5471,8.574294356418575
Terengganu,2017,1696,14.039735099337747
Kuala Lumpur,2017,5009,27.933303591345084
Labuan,2017,122,12.5
Putrajaya,2017,654,74.74285714285715
Johor,2018,5200,13.868885688376809
Kedah,2018,2673,12.357836338418863
Kelantan,2018,2659,14.29185702768073
Melaka,2018,1420,15.394622723330444
Negeri Sembilan,2018,1825,16.25256033484727
Pahang,2018,2646,15.894755811857992
Perak,2018,5542,22.13700818853605
Perlis,2018,508,20.039447731755423
Pulau Pinang,2018,2118,12.01497617426821
Sabah,2018,4848,12.435871126616048
Sarawak,2018,4051,14.510871511981946
Selangor,2018,5602,8.651737451737452
Terengganu,2018,1680,13.677440364731742
Kuala Lumpur,2018,4995,27.90502793296089
Labuan,2018,122,12.323232323232324
Putrajaya,2018,722,74.2798353909465
Johor,2019,5200,13.825374880357332
Kedah,2019,2711,12.471822238579382
Kelantan,2019,2787,14.794564178787558
Melaka,2019,1429,15.392072382593708
Negeri Sembilan,2019,1898,16.853134434381104
Pahang,2019,2581,15.442144310159147
Perak,2019,5542,22.090242346938776
Perlis,2019,508,20.0
Pulau Pinang,2019,2113,11.945952057892356
Sabah,2019,4876,12.488474541542876
Sarawak,2019,4083,14.55096222380613
Selangor,2019,5907,9.079171854106146
Terengganu,2019,1698,13.64403374849337
Kuala Lumpur,2019,4912,27.55680224403927
Labuan,2019,122,12.28600201409869
Putrajaya,2019,621,59.884281581485055
Johor,2020,5270,13.143127914806596
Kedah,2020,2702,12.67711363423102
Kelantan,2020,2786,15.542538354253836
Melaka,2020,1429,14.312900641025642
Negeri Sembilan,2020,1977,16.475
Pahang,2020,2646,16.62791428391881
Perak,2020,5542,22.20352564102564
Perlis,2020,508,17.830817830817832
Pulau Pinang,2020,2113,12.140887152378763
Sabah,2020,5013,14.663039663039664
Sarawak,2020,4146,16.89693116517912
Selangor,2020,6131,8.76558389568798
Terengganu,2020,1700,14.790325387158518
Kuala Lumpur,2020,5583,28.167095504767676
Labuan,2020,122,12.828601472134595
Putrajaya,2020,637,58.333333333333336
Johor,2021,5278,13.129353233830845
Kedah,2021,2755,12.80382953013896
Kelantan,2021,2812,15.516194890470674
Melaka,2021,1439,14.325535092085614
Negeri Sembilan,2021,1977,16.41753861484803
Pahang,2021,2611,16.303465501092724
Perak,2021,5924,23.54718181095477
Perlis,2021,508,17.663421418636997
Pulau Pinang,2021,2133,12.258620689655173
Sabah,2021,5023,14.718982593916662
Sarawak,2021,4099,16.624756651524983
Selangor,2021,7159,10.205710864327768
Terengganu,2021,1722,14.70914837276843
Kuala Lumpur,2021,5582,28.421588594704684
Labuan,2021,122,12.708333333333332
Putrajaya,2021,637,55.295138888888886
Johor,2022,5433,13.4870789166646
Kedah,2022,2762,12.768711571355924
Kelantan,2022,2970,16.224188790560472
Melaka,2022,1454,14.41602220900258
Negeri Sembilan,2022,1977,16.367248944449045
Pahang,2022,2681,16.60781762993248
Perak,2022,5887,23.413140311804007
Perlis,2022,508,17.52933057280883
Pulau Pinang,2022,2138,12.28100407835028
Sabah,2022,5053,14.796919382705203
Sarawak,2022,4119,16.6525166767738
Selangor,2022,7640,10.836418308440775
Terengganu,2022,1730,14.579470756784088
Kuala Lumpur,2022,4874,24.85213134815419
Labuan,2022,122,12.590299277605778
Putrajaya,2022,637,54.44444444444444
